"duzey,sevilen_yon,oyun_turu		"
"Hazýrlýk,Kendi Oyuncu Karakterimi Oluþturmak,Simülasyon(12)
ve Seviyesini Yükseltmek		"
"Hazýrlýk,Kendimi Diðerlerinden Üstün Hissetmek,Strateji(254)
ve Seviyesini Yükseltmek		"
"Hazýrlýk,Diðer Ýnsanlarla Etkileþim Kurmak,Bulmaca-Zeka(236)		"
"Hazýrlýk,Oyunda Seviye vs. Satarak Para Kazanmak,Dövüþ-Turnuva(223)		"
"Hazýrlýk,Zaman Öldürmek,Spor(115)		"
"Lise 1,Kendi Oyuncu Karakterimi Oluþturmak,Simülasyon(385)
ve Seviyesini Yükseltmek		"
"Lise 1,Kendimi Diðerlerinden Üstün Hissetmek,Strateji(80)
ve Seviyesini Yükseltmek		"
"Lise 1,Diðer Ýnsanlarla Etkileþim Kurmak,Bulmaca-Zeka(116)		"
"Lise 1,Oyunda Seviye vs. Satarak Para Kazanmak,Dövüþ-Turnuva(67)		"
"Lise 1,Zaman Öldürmek,Spor(192)		"
"Lise 2,Kendi Oyuncu Karakterimi Oluþturmak,Simülasyon(119)
ve Seviyesini Yükseltmek		"
"Lise 2,Kendimi Diðerlerinden Üstün Hissetmek,Strateji(99)
ve Seviyesini Yükseltmek		"
"Lise 2,Diðer Ýnsanlarla Etkileþim Kurmak,Bulmaca-Zeka(117)		"
"Lise 2,Oyunda Seviye vs. Satarak Para Kazanmak,Dövüþ-Turnuva(142)		"
"Lise 2,Zaman Öldürmek,Spor(310)		"
"Lise 3,Kendi Oyuncu Karakterimi Oluþturmak,Simülasyon(329)
ve Seviyesini Yükseltmek		"
"Lise 3,Kendimi Diðerlerinden Üstün Hissetmek,Strateji(112)
ve Seviyesini Yükseltmek		"
"Lise 3,Diðer Ýnsanlarla Etkileþim Kurmak,Bulmaca-Zeka		"
"Lise 3,Oyunda Seviye vs. Satarak Para Kazanmak,Dövüþ-Turnuva(20)		"
"Lise 3,Zaman Öldürmek,Spor(86)		"
"Lise 4,Kendi Oyuncu Karakterimi Oluþturmak,Simülasyon(103)
ve Seviyesini Yükseltmek		"
"Lise 4,Kendimi Diðerlerinden Üstün Hissetmek,Strateji(85)
ve Seviyesini Yükseltmek		"
"Lise 4,Diðer Ýnsanlarla Etkileþim Kurmak,Bulmaca-Zeka(45)		"
"Lise 4,Oyunda Seviye vs. Satarak Para Kazanmak,Dövüþ-Turnuva(78)		"
"Lise 4,Zaman Öldürmek,Spor(115)		"
